"","t_horiz","mean_auc","lower_auc","upper_auc","mean_rmspe","lower_rmspe","upper_rmspe"
"MUSIC.0",1,0.667,0.616,0.703,0.387,0.369,0.409
"MUSIC.0.5",1.5,0.62,0.566,0.646,0.481,0.462,0.495
"MUSIC.1",2,0.623,0.569,0.666,0.48,0.459,0.501
"MUSIC.1.5",2.5,0.621,0.58,0.677,0.444,0.418,0.472
"MUSIC.2",3,0.626,0.464,0.71,0.416,0.376,0.459
"MUSIC.2.5",3.5,0.665,0.554,0.796,0.449,0.39,0.493
"MUSIC.3",4,0.674,0.54,0.757,0.438,0.374,0.483
"MUSIC.3.5",4.5,0.633,0.41,0.865,0.434,0.346,0.485
"MUSIC.4",5,0.65,0.248,0.946,NA,NA,NA
"MUSIC.4.5",5.5,0.63,0,1,NA,NA,NA
"MUSIC.5",6,NA,NA,NA,NA,NA,NA
"MUSIC.5.5",6.5,NA,NA,NA,NA,NA,NA
"MUSIC.6",7,NA,NA,NA,NA,NA,NA
"MUSIC.6.5",7.5,NA,NA,NA,NA,NA,NA
"MUSIC.7",8,NA,NA,NA,NA,NA,NA
"MUSIC.7.5",8.5,NA,NA,NA,NA,NA,NA
"MUSIC.8",9,NA,NA,NA,NA,NA,NA
"MUSIC.8.5",9.5,NA,NA,NA,NA,NA,NA
"MUSIC.9",10,NA,NA,NA,NA,NA,NA
